FIPS,Country_Region,Province_State,Admin2,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
45001,US,South Carolina,Abbeville,6/16/2020 4:33,34.22333378,-82.46170658,70,0,0,70,285.3997635,0
22001,US,Louisiana,Acadia,6/16/2020 4:33,30.2950649,-92.41419698,597,31,0,566,962.2048513,5.192629816
51001,US,Virginia,Accomack,6/16/2020 4:33,37.76707161,-75.63234615,996,14,0,982,3082.064612,1.40562249
16001,US,Idaho,Ada,6/16/2020 4:33,43.4526575,-116.2415516,892,22,0,870,185.2209466,2.466367713
19001,US,Iowa,Adair,6/16/2020 4:33,41.33075609,-94.47105874,11,0,0,11,153.803132,0
21001,US,Kentucky,Adair,6/16/2020 4:33,37.10459774,-85.28129668,101,19,0,82,525.9868764,18.81188119
29001,US,Missouri,Adair,6/16/2020 4:33,40.19058551,-92.60078167,83,0,0,83,327.5066093,0
40001,US,Oklahoma,Adair,6/16/2020 4:33,35.88494195,-94.65859267,96,4,0,92,432.5493377,4.166666667
8001,US,Colorado,Adams,6/16/2020 4:33,39.87432092,-104.3362578,3759,144,0,3615,726.487715,3.830806065
16003,US,Idaho,Adams,6/16/2020 4:33,44.89333571,-116.4545247,4,0,0,4,93.15323707,0
17001,US,Illinois,Adams,6/16/2020 4:33,39.98815591,-91.18786813,46,1,0,45,70.29876977,2.173913043
18001,US,Indiana,Adams,6/16/2020 4:33,40.7457653,-84.93671406,27,1,0,26,75.46747911,3.703703704
19003,US,Iowa,Adams,6/16/2020 4:33,41.02903567,-94.69932645,8,0,0,8,222.098834,0
28001,US,Mississippi,Adams,6/16/2020 4:33,31.47669768,-91.35326037,226,17,0,209,736.3242433,7.522123894
31001,US,Nebraska,Adams,6/16/2020 4:33,40.5244942,-98.50117804,278,11,0,267,886.3947964,3.956834532
39001,US,Ohio,Adams,6/16/2020 4:33,38.84541072,-83.4718964,15,1,0,14,54.1555347,6.666666667
42001,US,Pennsylvania,Adams,6/16/2020 4:33,39.87140411,-77.21610347,296,9,0,287,287.3535322,3.040540541
53001,US,Washington,Adams,6/16/2020 4:33,46.98299757,-118.5601734,93,0,0,93,465.3955862,0
55001,US,Wisconsin,Adams,6/16/2020 4:33,43.96974651,-89.76782777,8,2,0,6,39.56478734,25
50001,US,Vermont,Addison,6/16/2020 4:33,44.03217337,-73.14130877,66,2,0,64,179.4599886,3.03030303
45003,US,South Carolina,Aiken,6/16/2020 4:33,33.54338026,-81.63645384,234,9,0,225,136.9446135,3.846153846
27001,US,Minnesota,Aitkin,6/16/2020 4:33,46.60962049,-93.4116826,13,0,0,13,81.83306056,0
12001,US,Florida,Alachua,6/16/2020 4:33,29.67866525,-82.35928158,551,10,0,541,204.7999762,1.814882033
37001,US,North Carolina,Alamance,6/16/2020 4:33,36.0434701,-79.39976137,778,34,0,744,458.9726799,4.370179949
6001,US,California,Alameda,6/16/2020 4:33,37.64629437,-121.8929271,4373,112,0,4261,261.6480657,2.561170821
8003,US,Colorado,Alamosa,6/16/2020 4:33,37.57250606,-105.7885451,127,3,0,124,782.3569272,2.362204724
36001,US,New York,Albany,6/16/2020 4:33,42.60060306,-73.97723916,2022,118,0,1904,661.852795,5.835806133
56001,US,Wyoming,Albany,6/16/2020 4:33,41.65498705,-105.7235415,27,0,0,27,69.44444444,0
51003,US,Virginia,Albemarle,6/16/2020 4:33,38.02080697,-78.55481085,290,8,0,282,265.2519894,2.75862069
26001,US,Michigan,Alcona,6/16/2020 4:33,44.6846864,-83.59507875,21,1,0,20,201.8260452,4.761904762
28003,US,Mississippi,Alcorn,6/16/2020 4:33,34.88084463,-88.57996173,30,1,0,29,81.18420697,3.333333333
17003,US,Illinois,Alexander,6/16/2020 4:33,37.18049267,-89.32910838,17,0,0,17,295.0876584,0
37003,US,North Carolina,Alexander,6/16/2020 4:33,35.9223796,-81.17751948,50,0,0,50,133.3440009,0
51510,US,Virginia,Alexandria,6/16/2020 4:33,38.814003,-77.08183073,2160,48,0,2112,1354.843566,2.222222222
40003,US,Oklahoma,Alfalfa,6/16/2020 4:33,36.73090616,-98.32408495,1,0,0,1,17.53770607,0
26003,US,Michigan,Alger,6/16/2020 4:33,46.41292944,-86.60260122,1,0,0,1,10.97935881,0
19005,US,Iowa,Allamakee,6/16/2020 4:33,43.28383218,-91.37860922,120,4,0,116,876.744356,3.333333333
26005,US,Michigan,Allegan,6/16/2020 4:33,42.59147037,-85.89102866,287,6,0,281,243.0534972,2.090592334
24001,US,Maryland,Allegany,6/16/2020 4:33,39.62357628,-78.69280486,187,17,0,170,265.5646444,9.090909091
36003,US,New York,Allegany,6/16/2020 4:33,42.25748406,-78.02750466,55,0,0,55,119.3291532,0
37005,US,North Carolina,Alleghany,6/16/2020 4:33,36.49360862,-81.12857041,30,0,0,30,269.3723624,0
51005,US,Virginia,Alleghany,6/16/2020 4:33,37.78636074,-80.00222498,28,2,0,26,188.4253028,7.142857143
42003,US,Pennsylvania,Allegheny,6/16/2020 4:33,40.46809875,-79.98167747,2086,174,0,1912,171.5397045,8.341323106
18003,US,Indiana,Allen,6/16/2020 4:33,41.09194313,-85.06800636,2224,85,0,2139,586.3448098,3.821942446
20001,US,Kansas,Allen,6/16/2020 4:33,37.88582951,-95.30030847,2,0,0,2,16.1694559,0
21003,US,Kentucky,Allen,6/16/2020 4:33,36.75197631,-86.19457544,135,3,0,132,633.356791,2.222222222
22003,US,Louisiana,Allen,6/16/2020 4:33,30.65385745,-92.82442028,226,10,0,216,881.8823897,4.424778761
39003,US,Ohio,Allen,6/16/2020 4:33,40.77285242,-84.10802343,241,36,0,205,235.4642358,14.93775934
45005,US,South Carolina,Allendale,6/16/2020 4:33,32.98837386,-81.35321066,40,3,0,37,460.4051565,7.5
26007,US,Michigan,Alpena,6/16/2020 4:33,45.03477666,-83.62212411,114,11,0,103,401.3377926,9.649122807
6003,US,California,Alpine,6/16/2020 4:33,38.59678594,-119.8223594,2,0,0,2,177.1479185,0
6005,US,California,Amador,6/16/2020 4:33,38.44583082,-120.65696,11,0,0,11,27.67156369,0
51007,US,Virginia,Amelia,6/16/2020 4:33,37.34081025,-77.98584649,39,1,0,38,296.6907569,2.564102564
51009,US,Virginia,Amherst,6/16/2020 4:33,37.60308293,-79.14548696,27,0,0,27,85.42952065,0
28005,US,Mississippi,Amite,6/16/2020 4:33,31.17467303,-90.80501621,72,2,0,70,585.5086606,2.777777778
2020,US,Alaska,Anchorage,6/16/2020 4:33,61.14998174,-149.1426986,320,6,0,314,111.1111111,1.875
20003,US,Kansas,Anderson,6/16/2020 4:33,38.21413251,-95.29272815,2,0,0,2,25.4517689,0
21005,US,Kentucky,Anderson,6/16/2020 4:33,38.00671029,-84.99171713,25,1,0,24,109.9046028,4
45007,US,South Carolina,Anderson,6/16/2020 4:33,34.51828081,-82.63959517,347,9,0,338,171.3089584,2.593659942
47001,US,Tennessee,Anderson,6/16/2020 4:33,36.12684348,-84.19965764,60,2,0,58,77.94434774,3.333333333
48001,US,Texas,Anderson,6/16/2020 4:33,31.81534745,-95.65354823,102,0,0,102,176.6692647,0
29003,US,Missouri,Andrew,6/16/2020 4:33,39.98492163,-94.80163024,35,0,0,35,197.6061427,0
48003,US,Texas,Andrews,6/16/2020 4:33,32.30468633,-102.6376548,28,0,0,28,149.6925956,0
23001,US,Maine,Androscoggin,6/16/2020 4:33,44.1664747,-70.20380627,429,4,0,425,396.2060271,0.932400932
48005,US,Texas,Angelina,6/16/2020 4:33,31.25457347,-94.60901487,309,5,0,304,356.3397336,1.618122977
24003,US,Maryland,Anne Arundel,6/16/2020 4:33,39.00670238,-76.60329337,4623,194,0,4429,798.1230384,4.196409258
27003,US,Minnesota,Anoka,6/16/2020 4:33,45.27476015,-93.24604565,1760,90,0,1670,493.1063176,5.113636364
37007,US,North Carolina,Anson,6/16/2020 4:33,34.97403241,-80.09953279,87,1,0,86,355.8864436,1.149425287
31003,US,Nebraska,Antelope,6/16/2020 4:33,42.17695516,-98.0666283,8,0,0,8,127.0244522,0
26009,US,Michigan,Antrim,6/16/2020 4:33,44.99690221,-85.15503082,14,0,0,14,60.0240096,0
4001,US,Arizona,Apache,6/16/2020 4:33,35.39465006,-109.4892383,1975,56,0,1919,2747.367396,2.835443038
19007,US,Iowa,Appanoose,6/16/2020 4:33,40.74324454,-92.86865906,17,3,0,14,136.8099147,17.64705882
13001,US,Georgia,Appling,6/16/2020 4:33,31.74847232,-82.28909114,204,13,0,191,1109.539867,6.37254902
51011,US,Virginia,Appomattox,6/16/2020 4:33,37.37569884,-78.81340003,34,0,0,34,213.6886431,0
48007,US,Texas,Aransas,6/16/2020 4:33,28.10556197,-96.9995047,6,0,0,6,25.52105487,0
8005,US,Colorado,Arapahoe,6/16/2020 4:33,39.64977461,-104.3353617,4818,335,0,4483,733.7912548,6.95309257
48009,US,Texas,Archer,6/16/2020 4:33,33.61569967,-98.68754589,3,0,0,3,35.07541214,0
8007,US,Colorado,Archuleta,6/16/2020 4:33,37.19474156,-107.0476867,8,0,0,8,57.02473448,0
26011,US,Michigan,Arenac,6/16/2020 4:33,44.0636262,-83.89277559,38,1,0,37,255.3248673,2.631578947
5001,US,Arkansas,Arkansas,6/16/2020 4:33,34.29145151,-91.37277296,8,0,0,8,45.75088642,0
51013,US,Virginia,Arlington,6/16/2020 4:33,38.8767675,-77.10139853,2346,125,0,2221,990.5337736,5.328218244
42005,US,Pennsylvania,Armstrong,6/16/2020 4:33,40.81665618,-79.46290811,66,5,0,61,101.9541206,7.575757576
48011,US,Texas,Armstrong,6/16/2020 4:33,34.96507426,-101.3574874,2,0,0,2,105.9883413,0
23003,US,Maine,Aroostook,6/16/2020 4:33,46.65926321,-68.59841248,10,1,0,9,14.91313101,10
31005,US,Nebraska,Arthur,6/16/2020 4:33,41.56896142,-101.6959559,0,0,0,0,0,
22005,US,Louisiana,Ascension,6/16/2020 4:33,30.20406249,-90.9132841,948,58,0,890,748.7915074,6.11814346
37009,US,North Carolina,Ashe,6/16/2020 4:33,36.43296207,-81.49862729,43,1,0,42,158.070801,2.325581395
39005,US,Ohio,Ashland,6/16/2020 4:33,40.84772277,-82.27280781,28,0,0,28,52.3521053,0
55003,US,Wisconsin,Ashland,6/16/2020 4:33,46.31956891,-90.67837132,3,0,0,3,19.2777278,0
5003,US,Arkansas,Ashley,6/16/2020 4:33,33.19153461,-91.7698471,45,1,0,44,228.9260823,2.222222222
39007,US,Ohio,Ashtabula,6/16/2020 4:33,41.70860332,-80.74830218,390,39,0,351,401.0653942,10
53003,US,Washington,Asotin,6/16/2020 4:33,46.18894415,-117.2022851,20,2,0,18,88.5661146,10
22007,US,Louisiana,Assumption,6/16/2020 4:33,29.89946234,-91.06461642,274,14,0,260,1251.655932,5.109489051
48013,US,Texas,Atascosa,6/16/2020 4:33,28.89333001,-98.52730485,42,2,0,40,82.10662131,4.761904762
20005,US,Kansas,Atchison,6/16/2020 4:33,39.53185661,-95.30870026,27,0,0,27,167.9835749,0
29005,US,Missouri,Atchison,6/16/2020 4:33,40.43238737,-95.42970639,3,0,0,3,58.33171301,0
39009,US,Ohio,Athens,6/16/2020 4:33,39.33425634,-82.04278644,23,1,0,22,35.2074946,4.347826087
13003,US,Georgia,Atkinson,6/16/2020 4:33,31.29633502,-82.87545866,76,2,0,74,930.8022045,2.631578947
34001,US,New Jersey,Atlantic,6/16/2020 4:33,39.47538693,-74.65848483,2497,180,0,2317,947.0171047,7.20865038
40005,US,Oklahoma,Atoka,6/16/2020 4:33,34.37366573,-96.03802487,8,0,0,8,58.14798663,0
28007,US,Mississippi,Attala,6/16/2020 4:33,33.08658803,-89.57838564,332,23,0,309,1826.785518,6.927710843
29007,US,Missouri,Audrain,6/16/2020 4:33,39.215877,-91.84242683,122,1,0,121,480.5419883,0.819672131
